"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y"
981.416666666667,"p",196708,NA,981.416666666667,NA,NA,NA,NA,-9599.61960579929,165.908448296228,1166.75359196615,2109.11204564593,-226.435889675405,-1592.41370974136
981.5,"p",196708,NA,981.5,NA,NA,NA,NA,-9488.56443577753,165.908448296228,1166.75359196615,1957.54124569467,-226.435889675405,-1592.41370974136
981.583333333333,"p",196708,NA,981.583333333333,NA,NA,NA,NA,-9377.50926575561,165.908448296228,1166.75359196615,1805.9704457432,-226.435889675405,-1592.41370974136
981.666666666667,"p",196708,NA,981.666666666667,NA,NA,NA,NA,-9266.4540957337,165.908448296228,1166.75359196615,1654.39964579174,-226.435889675405,-1592.41370974136
981.75,"p",196708,NA,981.75,NA,NA,NA,NA,-9155.39892571193,165.908448296228,1166.75359196615,1502.82884584048,-226.435889675405,-1592.41370974136
981.833333333333,"p",196708,NA,981.833333333333,NA,NA,NA,NA,-9044.34375569002,165.908448296228,1166.75359196615,1351.25804588902,-226.435889675405,-1592.41370974136
981.916666666667,"p",196708,NA,981.916666666667,NA,NA,NA,NA,-8933.2885856681,165.908448296228,1166.75359196615,1199.68724593755,-226.435889675405,-1592.41370974136
982,"p",196708,NA,982,NA,NA,NA,NA,-8822.23341564634,165.908448296228,1166.75359196615,1048.11644598629,-226.435889675405,-1592.41370974136
982.083333333333,"p",196708,NA,982.083333333333,NA,NA,NA,NA,-8711.17824562442,165.908448296228,1166.75359196615,896.545646034824,-226.435889675405,-1592.41370974136
982.166666666667,"p",196708,NA,982.166666666667,NA,NA,NA,NA,-8600.12307560251,165.908448296228,1166.75359196615,744.974846083359,-226.435889675405,-1592.41370974136
982.25,"p",196708,NA,982.25,NA,NA,NA,NA,-8489.06790558074,165.908448296228,1166.75359196615,593.4040461321,-226.435889675405,-1592.41370974136
982.333333333333,"p",196708,NA,982.333333333333,NA,NA,NA,NA,-8378.01273555883,165.908448296228,1166.75359196615,441.833246180634,-226.435889675405,-1592.41370974136
982.416666666667,"p",196708,NA,982.416666666667,NA,NA,NA,NA,-8266.95756553692,165.908448296228,1166.75359196615,290.262446229169,-226.435889675405,-1592.41370974136
982.5,"p",196708,NA,982.5,NA,NA,NA,NA,-8155.90239551515,165.908448296228,1166.75359196615,138.69164627791,-226.435889675405,-1592.41370974136
982.583333333333,"p",196708,NA,982.583333333333,NA,NA,NA,NA,-8044.8472254933,165.908448295159,1166.75359195862,-12.8791536734889,-226.435889674277,-1592.41370973342
982.666666666667,"p",196708,NA,982.666666666667,NA,NA,NA,NA,-7933.79206080476,165.908357946052,1166.75295629468,-164.449948000392,-226.435794392403,-1592.41303936429
982.75,"p",196708,NA,982.75,NA,NA,NA,NA,-7823.18726828432,158.276347497488,1113.07675440659,-315.54578130176,-218.387100965105,-1535.80629121443
982.766666666667,"o",196708,2020-02-16 15:36:00,982.766666666667,"B",1106,-7804.87993417498,-341.743112063525,-7804.87993417546,92.1202142502248,647.836755589644,-341.743112063017,-148.619057743561,-1045.16569974373
982.833333333333,"p",196708,NA,982.833333333333,NA,NA,NA,NA,-7790.70955661858,18.3404255034217,128.979328508109,-384.249048921151,-70.8111321968197,-497.98034259559
982.916666666667,"p",196708,NA,982.916666666667,NA,NA,NA,NA,-7778.43806653835,18.3319803041982,128.9199199167,-431.642900894176,-70.8022259171519,-497.917690488072
983,"p",196708,NA,983,NA,NA,NA,NA,-7766.16707491435,18.3319802042224,128.91991921315,-479.036227196843,-70.8022258117178,-497.91768974611
983.083333333333,"p",196708,NA,983.083333333333,NA,NA,NA,NA,-7753.89608329623,18.3319802042212,128.919919213142,-526.42955349335,-70.8022258117165,-497.917689746101
983.166666666667,"p",196708,NA,983.166666666667,NA,NA,NA,NA,-7741.62509167811,18.3319802042212,128.919919213142,-573.822879789856,-70.8022258117165,-497.917689746102
